R,HF,FCI,CISD,DM_msto-03g
1.0,-7.780043048329248,-7.812557942158343,-7.811899457677852,4.1603204943129155
1.02020202020202,-7.790590598694575,-7.823027295366211,-7.822373323627402,4.210516163525237
1.0404040404040404,-7.800303938114408,-7.832697775022518,-7.832046516441885,4.2578461885320005
1.0606060606060606,-7.80924078437219,-7.841624123966331,-7.840973911929044,4.302469458541804
1.0808080808080809,-7.817454955412317,-7.849857511184793,-7.849206800944436,4.344529791537376
1.101010101010101,-7.824996612878883,-7.857445738444977,-7.856793096017187,4.384158861130999
1.121212121212121,-7.831912504232152,-7.864433446584432,-7.863777538100556,4.421478709755707
1.1414141414141414,-7.838246196631583,-7.870862316347931,-7.870201898113082,4.45660386530166
1.1616161616161615,-7.844038298136868,-7.876771260173917,-7.8761051712892645,4.489639657301542
1.1818181818181819,-7.849326663701794,-7.8821966027024475,-7.881523751506978,4.520697151589484
1.202020202020202,-7.854146584939889,-7.887172248929756,-7.886491610620069,4.549874191115343
1.2222222222222223,-7.858530963763489,-7.8917298398389715,-7.89104044790693,4.577269367876772
1.2424242424242424,-7.86251047077157,-7.895898895994849,-7.895199835989318,4.602979321889867
1.2626262626262625,-7.866113689750283,-7.899706950021705,-7.898997353850185,4.627099073735738
1.2828282828282829,-7.869367249896994,-7.903179669120506,-7.902458709818418,4.649722179165422
1.303030303030303,-7.872295947440409,-7.906340968861188,-7.905607855766462,4.670940741053203
1.3232323232323233,-7.874922858257457,-7.909213119451418,-7.908467093732944,4.690845312433614
1.3434343434343434,-7.877269442923835,-7.9118168455671345,-7.911057176064992,4.7095247219179885
1.3636363636363638,-7.8793556454224705,-7.91417142067055,-7.91339740002217,4.727065849616914
1.3838383838383839,-7.881199986500331,-7.916294756561616,-7.915505697578571,4.743553377973124
1.404040404040404,-7.882819652433642,-7.918203488729815,-7.917398721019486,4.75906953782019
1.4242424242424243,-7.884230579752781,-7.919913057911835,-7.919091924725014,4.773693865849552
1.4444444444444444,-7.885447536296948,-7.92143778812055,-7.920599643416657,4.787502985591761
1.4646464646464648,-7.886484198825193,-7.922790961302145,-7.921935167024477,4.800570420364678
1.4848484848484849,-7.887353227299181,-7.923984888695223,-7.923110812249879,4.812966443365289
1.5050505050505052,-7.888066335877571,-7.925030978912119,-7.924137990844585,4.824757967389627
1.5252525252525253,-7.8886343606138425,-7.925939802730552,-7.9250272745940284,4.836008474440911
1.5454545454545454,-7.889067323826252,-7.926721154571901,-7.925788456980956,4.846777983759628
1.5656565656565657,-7.889374495104132,-7.9273841106445,-7.92643061150737,4.85712305550299
