R,HF,FCI,CISD
1.0,-99.50958108039265,-99.50958108039262,-99.50958108039258
1.2222222222222223,-99.62630868379406,-99.62630868379418,-99.62630868379199
1.4444444444444444,-99.67812372772516,-99.67812372772502,-99.67812372772516
1.6666666666666665,-99.7025141893375,-99.7025141893375,-99.70251418933749
1.8888888888888888,-99.71453889262338,-99.71453889262351,-99.71453889262341
2.111111111111111,-99.72052043885105,-99.72052043885084,-99.72052043885074
2.333333333333333,-99.72345480217201,-99.72345480217199,-99.72345480217199
2.5555555555555554,-99.72486636733086,-99.72486636733109,-99.72486636733082
2.7777777777777777,-99.72553356655733,-99.72553356655736,-99.72553356655729
3.0,-99.72584484361442,-99.72584484361454,-99.72584484361442
