R,HF,FCI,CISD
1.0,-99.62880771787944,-99.6288077178795,-99.62880771787944
1.2222222222222223,-99.7579532329839,-99.757953232984,-99.7579532329836
1.4444444444444444,-99.81714574841129,-99.8171457484113,-99.81714574841126
1.6666666666666665,-99.8457700640043,-99.84577006400431,-99.84577006399878
1.8888888888888888,-99.86003026182941,-99.8600302618294,-99.86003026182941
2.111111111111111,-99.86716666346663,-99.86716666346663,-99.86716666346386
2.333333333333333,-99.87070340795908,-99.87070340795901,-99.87070340795907
2.5555555555555554,-99.87242796566406,-99.87242796566404,-99.87242796566404
2.7777777777777777,-99.87325348868862,-99.87325348868866,-99.8732534886886
3.0,-99.87364157899192,-99.87364157899196,-99.87364157899191
