R,HF,FCI,CISD
1.0,-99.56758683921093,-99.56758683921093,-99.5675868391953
1.2222222222222223,-99.69425014292598,-99.69425014292602,-99.6942501429244
1.4444444444444444,-99.75254904143864,-99.75254904143864,-99.75254904143864
1.6666666666666665,-99.78126399924504,-99.781263999245,-99.78126399923046
1.8888888888888888,-99.79581692880028,-99.79581692880033,-99.79581692880028
2.111111111111111,-99.80318045983499,-99.80318045983499,-99.80318045983495
2.333333333333333,-99.806855328932,-99.80685532893202,-99.80685532893197
2.5555555555555554,-99.80866015218615,-99.80866015218618,-99.80866015218612
2.7777777777777777,-99.80953283379974,-99.80953283379978,-99.80953283379971
3.0,-99.80994834833677,-99.80994834833679,-99.80994834833672
