R,HF,FCI,CISD,DM_msto-08g
1.0,-7.851200815324593,-7.886086045392973,-7.8853566604753595,4.207420167729697
1.02020202020202,-7.861694626749955,-7.896479976093714,-7.89575602157458,4.25852836585932
1.0404040404040404,-7.871341056779017,-7.906064800077901,-7.905344202775978,4.306688536271333
1.0606060606060606,-7.8802003389410595,-7.914897434030498,-7.914178278082366,4.352060127885135
1.0808080808080809,-7.888328753979482,-7.923031173517445,-7.92231168871028,4.394790380601074
1.101010101010101,-7.895778795939335,-7.930515833094858,-7.929794382526422,4.435016595376752
1.121212121212121,-7.902599353655967,-7.937397899699569,-7.936672967451671,4.472867998103796
1.1414141414141414,-7.908835901008438,-7.94372069489241,-7.942990874139019,4.508467240872465
1.1616161616161615,-7.914530690777801,-7.949524542098138,-7.948788523886873,4.541931587430529
1.1818181818181819,-7.919722948186856,-7.954846935616712,-7.954103500082725,4.573370860026267
1.202020202020202,-7.9244490612050384,-7.959722708792983,-7.9589707106657785,4.602899883668823
1.2222222222222223,-7.92874276550512,-7.964184199287358,-7.963422563961274,4.630621557275127
1.2424242424242424,-7.93263532259556,-7.968261409874623,-7.967489123804685,4.656638686217201
1.2626262626262625,-7.936155690137137,-7.971982163602811,-7.971198267027401,4.681051378482189
1.2828282828282829,-7.939330683834088,-7.975372252483361,-7.974575832812563,4.703957179832852
1.303030303030303,-7.942185130573853,-7.9784555791564875,-7.977645764965933,4.725451136093867
1.3232323232323233,-7.944742012705768,-7.981254291196415,-7.980430246768221,4.745625801254932
1.3434343434343434,-7.947022603510209,-7.983788907897299,-7.9829498282603994,4.764571206979075
1.3636363636363638,-7.9490465940283945,-7.986078439519226,-7.985223545930246,4.78237480638704
1.3838383838383839,-7.950832211508089,-7.98814049908097,-7.987269034914069,4.799121402606478
1.404040404040404,-7.952396329781819,-7.9899914068700015,-7.989102633872192,4.814893070501071
1.4242424242424243,-7.95375457193494,-7.991646287902146,-7.990739482782008,4.8297690781977565
1.4444444444444444,-7.9549214056469575,-7.993119162608964,-7.99219361392961,4.843825813480577
1.4646464646464648,-7.955910231603823,-7.994423031063053,-7.993478036413523,4.857136718813468
1.4848484848484849,-7.956733465384172,-7.995569951071651,-7.994604814494102,4.869772237671652
1.5050505050505052,-7.957402613221429,-7.996571110481373,-7.995585140133798,4.8817997739777015
1.5252525252525253,-7.957928342035272,-7.997436894039476,-7.996429400075951,4.893283665691253
1.5454545454545454,-7.958320544116576,-7.998176945156841,-7.9971472378090604,4.904285173035442
1.5656565656565657,-7.958588396835161,-7.998800222910839,-7.997747610756157,4.914862481333684
1.5858585858585859,-7.958740417723121,-7.999315054615515,-7.998238843018213,4.925070718044131
1.606060606060606,-7.958784515270525,-7.999729184275714,-7.9986286739892005,4.9349619832684395
1.6262626262626263,-7.958728035749938,-8.00004981722499,-7.998924303143833,4.944585392766297
1.6464646464646466,-7.958577806369155,-8.000283661233286,-7.9991324312848135,4.9539871323523945
1.6666666666666667,-7.9583401750317275,-8.000436964352541,-7.999259298518756,4.963210522436772
1.6868686868686869,-7.9580210469664845,-8.000515549752109,-7.999310719213344,4.972296091421717
1.7070707070707072,-7.957625918469447,-8.000524847779092,-7.999292114171637,4.981281656655405
1.7272727272727273,-7.957159907983868,-8.000469925462014,-7.999208540242742,4.99020241166745
1.7474747474747474,-7.956627784727602,-8.000355513660697,-7.999064717572245,4.999091018463926
1.7676767676767677,-7.9560339950612615,-8.000186032049765,-7.998865054680522,5.007977703722187
1.787878787878788,-7.9553826867757405,-7.999965612108818,-7.9986136715426355,5.016890357814406
1.8080808080808082,-7.954677731463827,-7.999698118279024,-7.998314420829892,5.025854635678714
1.8282828282828283,-7.953922745128205,-7.999387167433293,-7.997970907460992,5.034894058644342
1.8484848484848486,-7.953121107164802,-7.999036146794627,-7.99758650659761,5.044030116427684
1.8686868686868687,-7.952275977851509,-7.9986482304281,-7.997164380210414,5.0532823686002875
1.8888888888888888,-7.951390314459918,-7.9982263944200795,-7.996707492329385,5.062668544929734
1.9090909090909092,-7.95046688609975,-7.997773430850251,-7.996218623084501,5.072204644070433
1.9292929292929295,-7.94950828739678,-7.997291960653598,-7.995700381634068,5.081905030186809
1.9494949494949496,-7.948516951096306,-7.996784445460805,-7.995155218069474,5.091782527135707
1.9696969696969697,-7.947495159678278,-7.99625319849976,-7.994585434379328,5.1018485099354
1.98989898989899,-7.94644505606229,-7.995700394633328,-7.99399319454818,5.112112993291413
2.0101010101010104,-7.9453686534752626,-7.9951280796031385,-7.993380533859838,5.122584717017243
2.0303030303030303,-7.94426784454848,-7.994538178543345,-7.992749367469283,5.13327122823921
2.0505050505050506,-7.943144409706088,-7.993932503823913,-7.992101498302748,5.144178960327544
2.070707070707071,-7.942000024901331,-7.993312762277247,-7.991438624339922,5.155313308538986
