R,HF,FCI,CISD,DM_sto-5g
1.0,-7.852477683635684,-7.869639180310309,-7.86963060882711,4.825456864985776
1.02020202020202,-7.862216004663546,-7.879287987606109,-7.87927947439586,4.824555998309072
1.0404040404040404,-7.87119285806805,-7.888187077991884,-7.888178597806973,4.824148822700697
1.0606060606060606,-7.879457433178044,-7.896386182132933,-7.896377711331206,4.824156529630961
1.0808080808080809,-7.887055434344885,-7.903931473496516,-7.903922989999719,4.824516053546055
1.101010101010101,-7.894029336793678,-7.910865829681344,-7.910857312941073,4.825177888369371
1.121212121212121,-7.900418627140446,-7.91722907845055,-7.917220509410748,4.826104140633693
1.1414141414141414,-7.906260028728515,-7.923058228604666,-7.923049589654834,4.827266792849947
1.1616161616161615,-7.911587711973099,-7.928387685852054,-7.928378960768399,4.828646155191946
1.1818181818181819,-7.916433489995037,-7.9332494539134,-7.933240627787632,4.830229487080037
1.202020202020202,-7.920826999941783,-7.937673321207212,-7.937664380364003,4.832009772947761
1.2222222222222223,-7.9247958705120976,-7.941687033579246,-7.941677965484078,4.833984638531323
1.2424242424242424,-7.9283658763077245,-7.945316453647619,-7.945307246807309,4.836155395598996
1.2626262626262625,-7.931561079720615,-7.948585707427429,-7.948576351320666,4.838522291080354
1.2828282828282829,-7.934403961129517,-7.951517318966749,-7.951507803834644,4.841098570888117
1.303030303030303,-7.936915538202714,-7.954132333772129,-7.954122650604537,4.8438892598984165
1.3232323232323233,-7.939115475136144,-7.95645043182317,-7.956440572222128,4.846903402291694
1.3434343434343434,-7.94102218262919,-7.958490030977243,-7.958479987053369,4.850150466825966
1.3636363636363638,-7.942652909386786,-7.960268381549997,-7.96025814582446,4.853639544335459
1.3838383838383839,-7.944023825897016,-7.961801652827575,-7.961791218136862,4.857378974527305
1.404040404040404,-7.945150101186996,-7.963105012227422,-7.963094371628632,4.861376693844253
1.4242424242424243,-7.946045973208562,-7.964192697778236,-7.964181844458902,4.86564038449416
1.4444444444444444,-7.946724813455071,-7.965078084540704,-7.965067011736631,4.870177106243272
1.4646464646464648,-7.947199186355365,-7.965773745538583,-7.965762446458747,4.874992926110021
1.4848484848484849,-7.94748090394066,-7.96629150772022,-7.96627997549866,4.880089459036911
1.5050505050505052,-7.947581076227689,-7.966642503421248,-7.966630730988005,4.885476869928998
1.5252525252525253,-7.947510157725592,-7.966837217753639,-7.96682519784143,4.891154339983585
1.5454545454545454,-7.947277990417101,-7.966885532303275,-7.966873257370519,4.8971229747412925
1.5656565656565657,-7.946893843542675,-7.966796765479639,-7.966784227660152,4.9033826264049845
1.5858585858585859,-7.946366450472949,-7.966579709825281,-7.966566900881964,4.909931903776167
1.606060606060606,-7.945704042928374,-7.966242666560979,-7.966229577843257,4.916768193525458
1.6262626262626263,-7.944914382777182,-7.96579347761361,-7.965780100018083,4.923887690445937
1.6464646464646466,-7.944004791619726,-7.965239555348102,-7.96522587928216,4.9312854345917065
1.6666666666666667,-7.942982178345966,-7.964587910201997,-7.964573925549966,4.93895535358723
1.6868686868686869,-7.941853064834072,-7.963845176400161,-7.963830872491686,4.946890308608174
1.7070707070707072,-7.9406236099417145,-7.963017635909133,-7.96300300148947,4.955082142810061
1.7272727272727273,-7.9392996319267315,-7.962111240773966,-7.962096263975975,4.963521731211982
1.7474747474747474,-7.937886629420093,-7.9611316339653095,-7.9611163022827585,4.972199031200405
1.7676767676767677,-7.936389801062839,-7.9600841688514965,-7.960068469113581,4.9811031330202935
