R,HF,FCI,CISD
1.0,-96.75796244020934,-96.75796244020931,-96.7579624402052
1.2222222222222223,-96.86195713596338,-96.86195713596338,-96.86195713596132
1.4444444444444444,-96.90549854318955,-96.90549854318961,-96.90549854318829
1.6666666666666665,-96.92274726444654,-96.92274726444658,-96.92274726444656
1.8888888888888888,-96.92904663574035,-96.92904663574036,-96.92904663574032
2.111111111111111,-96.9313064154671,-96.93130641546712,-96.9313064154671
2.333333333333333,-96.93209271323938,-96.9320927132394,-96.93209271322942
2.5555555555555554,-96.93232109369984,-96.93232109369987,-96.93232109369981
2.7777777777777777,-96.93235554779393,-96.93235554779396,-96.93235554779389
3.0,-96.93234221095263,-96.93234221095265,-96.93234221094652
