R,HF,FCI,CISD
1.0,-99.17763639731382,-99.17763639731383,-99.17763639731346
1.2222222222222223,-99.30102954157168,-99.3010295415717,-99.30102954157168
1.4444444444444444,-99.35075605646158,-99.35075605646162,-99.35075605646138
1.6666666666666665,-99.37074414514183,-99.37074414514186,-99.37074414514183
1.8888888888888888,-99.37884193486273,-99.37884193486276,-99.37884193484403
2.111111111111111,-99.3821340649488,-99.38213406494883,-99.38213406494702
2.333333333333333,-99.38345619062177,-99.38345619062174,-99.3834561906217
2.5555555555555554,-99.38397498230587,-99.38397498230593,-99.38397498230587
2.7777777777777777,-99.3841736782063,-99.38417367820638,-99.3841736782063
3.0,-99.3842483482609,-99.38424834826091,-99.3842483482609
