R,HF,FCI,CISD
1.0,-143.01920238288062,-143.07993651111303,-143.07899791072796
1.02020202020202,-143.06212228507357,-143.12650152307097,-143.1254104879976
1.0404040404040404,-143.09824683702607,-143.16643390251096,-143.16516793197613
1.0606060606060606,-143.1282875437106,-143.2004443284498,-143.19897822692005
1.0808080808080809,-143.15288910047883,-143.22917581320712,-143.22748150192382
1.101010101010101,-143.17263632869717,-143.2532106665632,-143.25125700366038
1.121212121212121,-143.18805995334571,-143.27307632226433,-143.27082893482435
1.1414141414141414,-143.19964146670682,-143.2892502711126,-143.2866714009818
1.1616161616161615,-143.20781728234496,-143.30216430417974,-143.2992126694955
1.1818181818181819,-143.2129823466792,-143.31220823170298,-143.30883890499067
1.202020202020202,-143.21549334201958,-143.31973320885004,-143.3158975119479
1.2222222222222223,-143.2156715854369,-143.32505476928623,-143.32070018363788
1.2424242424242424,-143.2138057022961,-143.3284556411307,-143.32352573272266
1.2626262626262625,-143.21015413174234,-143.33018839805692,-143.32462275367774
1.2828282828282829,-143.2049475036015,-143.33047798025316,-143.32421215250395
1.303030303030303,-143.19839091191514,-143.32952410582843,-143.32248956300816
1.3232323232323233,-143.1906660992068,-143.3275035826961,-143.31962766064652
1.3434343434343434,-143.18193355726652,-143.32457252309297,-143.3157783748982
1.3636363636363638,-143.172334544346,-143.32086845809178,-143.31107499983483
1.3838383838383839,-143.16199301474995,-143.31651234614216,-143.3056341954521
1.404040404040404,-143.15101745459273,-143.3116104689146,-143.29955787534138
1.4242424242424243,-143.13950261658002,-143.30625620706783,-143.2929349781435
1.4444444444444444,-143.1275311467835,-143.3005316896497,-143.2858431056213
1.4646464646464648,-143.11517509723788,-143.29450931272805,-143.27835004444924
1.4848484848484849,-143.10249731958535,-143.28825312319103,-143.2705151525979
1.5050505050505052,-143.0895527366976,-143.28182006731527,-143.26239061681687
1.5252525252525253,-143.07638949109668,-143.27526110338334,-143.2540225914612
1.5454545454545454,-143.06304997089558,-143.268622180924,-143.24545221385253
1.5656565656565657,-143.0495717158184,-143.2619450888766,-143.23671650465255
1.5858585858585859,-143.03598820754186,-143.25526817707154,-143.22784917423382
1.606060606060606,-143.02232955006843,-143.24862695497643,-143.21888132686365
1.6262626262626263,-143.00862304706044,-143.24205457224966,-143.20984209483154
1.6464646464646466,-142.99489368401603,-143.23558218506759,-143.20075920105083
1.6666666666666667,-142.98116452384582,-143.22923921207965,-143.19165948629848
1.6868686868686869,-142.9674570248261,-143.2230534821753,-143.18256939825625
1.7070707070707072,-142.95379129006744,-143.1842106336198,-143.1735155005752
1.7272727272727273,-142.94018625755947,-143.181944853279,-143.16452499001642
1.7474747474747474,-142.92665983965034,-143.1796496321022,-143.15562629740418
1.7676767676767677,-142.91322902031538,-143.17735310374863,-143.14684978740937
