R,HF,FCI,CISD
1.0,-99.61944788960996,-99.61944788961006,-99.61944788960996
1.2222222222222223,-99.74887252426304,-99.74887252426304,-99.74887252426106
1.4444444444444444,-99.80896213777855,-99.80896213777861,-99.80896213777855
1.6666666666666665,-99.83823360034175,-99.83823360034172,-99.83823360032378
1.8888888888888888,-99.85287897351931,-99.85287897351931,-99.85287897351931
2.111111111111111,-99.86025227154686,-99.86025227154683,-99.86025227154681
2.333333333333333,-99.86393702442109,-99.8639370244211,-99.86393702442106
2.5555555555555554,-99.86575511000038,-99.8657551100005,-99.86575511000035
2.7777777777777777,-99.86664123016274,-99.86664123016276,-99.8666412301627
3.0,-99.86706853547324,-99.86706853547325,-99.86706853547324
