R,HF,FCI,CISD
1.0,-99.37559022352848,-99.3755902235285,-99.37559022352848
1.2222222222222223,-99.50299276157004,-99.50299276157001,-99.50299276156831
1.4444444444444444,-99.56210083939203,-99.56210083939209,-99.56210083939203
1.6666666666666665,-99.59078264280102,-99.59078264280102,-99.59078264278013
1.8888888888888888,-99.60508457287027,-99.60508457287024,-99.60508457287027
2.111111111111111,-99.61227295533331,-99.61227295533324,-99.61227295533324
2.333333333333333,-99.6158532862753,-99.61585328627531,-99.61585328627527
2.5555555555555554,-99.61760291463808,-99.61760291463814,-99.61760291463807
2.7777777777777777,-99.61844050300296,-99.61844050300299,-99.61844050300294
3.0,-99.61883368345347,-99.6188336834535,-99.61883368345343
