R,HF,FCI,CISD
1.0,-99.5585204374948,-99.55852043749482,-99.55852043749475
1.2222222222222223,-99.68929047067205,-99.68929047067205,-99.68929047067057
1.4444444444444444,-99.75036793781507,-99.75036793781514,-99.75036793781507
1.6666666666666665,-99.78002889241415,-99.78002889241418,-99.78002889240943
1.8888888888888888,-99.79469769974905,-99.79469769974911,-99.79469769974905
2.111111111111111,-99.8019600960527,-99.80196009605267,-99.80196009605268
2.333333333333333,-99.80553275395998,-99.80553275395998,-99.80553275395997
2.5555555555555554,-99.80727694476676,-99.80727694476673,-99.80727694476674
2.7777777777777777,-99.80812151339924,-99.80812151339927,-99.80812151339923
3.0,-99.80852609156544,-99.80852609156548,-99.80852609156541
