R,HF,FCI,CISD
1.0,-95.28769367905564,-95.28769367905561,-95.28769367905564
1.2222222222222223,-95.40808435947397,-95.40808435947405,-95.40808435947397
1.4444444444444444,-95.45263810298107,-95.45263810298123,-95.45263810298117
1.6666666666666665,-95.46654179960268,-95.4665417996027,-95.46654179960268
1.8888888888888888,-95.46961683427779,-95.46961683427782,-95.46961683427675
2.111111111111111,-95.46992038097481,-95.46992038097493,-95.46992038097486
2.333333333333333,-95.46977806867204,-95.46977806867207,-95.46977806867088
2.5555555555555554,-95.46963647152647,-95.46963647152648,-95.46963647152614
2.7777777777777777,-95.46954927762282,-95.46954927762285,-95.46954927762282
3.0,-95.46950634552171,-95.4695063455217,-95.46950634552171
