R,HF,FCI,CISD
1.0,-98.86521441060032,-98.86521441060033,-98.86521441060032
1.2222222222222223,-98.99388692297883,-98.99388692297887,-98.99388692295209
1.4444444444444444,-99.05073410830755,-99.0507341083076,-99.05073410830754
1.6666666666666665,-99.0776456565359,-99.07764565653596,-99.07764565653589
1.8888888888888888,-99.09100543428306,-99.09100543428308,-99.09100543428306
2.111111111111111,-99.0976623713044,-99.09766237130442,-99.09766237130171
2.333333333333333,-99.10090867780649,-99.10090867780646,-99.10090867780647
2.5555555555555554,-99.10244022308362,-99.10244022308362,-99.10244022308362
2.7777777777777777,-99.10313720451364,-99.10313720451376,-99.10313720451364
3.0,-99.10344434374565,-99.10344434374562,-99.10344434374565
