R,HF,FCI,CISD
0.5,-0.9537330378295044,-0.9637054734929265,-0.9637054734929269
0.5070707070707071,-0.9620437127156982,-0.9721492793273139,-0.9721492793273137
0.5141414141414141,-0.9699642801327675,-0.9802046896917604,-0.9802046896917597
0.5212121212121212,-0.9775121159907607,-0.987889102938037,-0.9878891029380367
0.5282828282828282,-0.9847036713116497,-0.9952189925937807,-0.99521899259378
0.5353535353535354,-0.9915545317030662,-1.0022099668217952,-1.0022099668217954
0.5424242424242425,-0.9980794722863708,-1.0088768233355487,-1.0088768233355483
0.5494949494949495,-1.00429250848816,-1.0152336001798208,-1.0152336001798203
0.5565656565656566,-1.010206943061564,-1.0212936227428018,-1.0212936227428013
0.5636363636363636,-1.015835409665942,-1.0270695473281446,-1.0270695473281442
0.5707070707070707,-1.0211899133001525,-1.0325734015820673,-1.0325734015820667
0.5777777777777777,-1.026281867855133,-1.0378166220411926,-1.037816622041192
0.5848484848484848,-1.031122131025095,-1.0428100890403542,-1.0428100890403535
0.591919191919192,-1.0357210367935936,-1.047564159196581,-1.0475641591965805
0.598989898989899,-1.0400884256899245,-1.0520886956646374,-1.052088695664637
0.6060606060606061,-1.0442336729929953,-1.0563930963412136,-1.0563930963412138
0.6131313131313131,-1.0481657150434316,-1.0604863201784602,-1.06048632017846
0.6202020202020202,-1.0518930738100583,-1.0643769117529254,-1.0643769117529247
0.6272727272727272,-1.0554238798438682,-1.06807302422295,-1.0680730242229493
0.6343434343434343,-1.0587658937409359,-1.0715824407958892,-1.0715824407958885
0.6414141414141414,-1.061926526225165,-1.0749125948159444,-1.0749125948159457
0.6484848484848484,-1.0649128569524535,-1.0780705885741422,-1.0780705885741424
0.6555555555555556,-1.0677316521293179,-1.0810632109333445,-1.0810632109333436
0.6626262626262627,-1.0703893810313856,-1.083896953853663,-1.0838969538536618
0.6696969696969697,-1.07289223150023,-1.086578027896608,-1.0865780278966066
0.6767676767676768,-1.075246124490754,-1.0891123767800879,-1.0891123767800877
0.6838383838383838,-1.0774567277356422,-1.0915056910506786,-1.091505691050678
0.6909090909090909,-1.0795294685881813,-1.0937634209343405,-1.0937634209343412
0.6979797979797979,-1.0814695461000763,-1.0958907884221498,-1.0958907884221496
0.705050505050505,-1.0832819423864808,-1.0978927986431013,-1.0978927986431017
0.7121212121212122,-1.0849714333264975,-1.09977425057221,-1.0997742505722106
0.7191919191919192,-1.0865425986439132,-1.1015397471185393,-1.1015397471185397
0.7262626262626263,-1.087999831409456,-1.1031937046343754,-1.103193704634376
