R,HF,FCI,CISD
1.0,-99.58413246846311,-99.5841324684631,-99.58413246846311
1.2222222222222223,-99.70804298969097,-99.70804298969095,-99.70804298969045
1.4444444444444444,-99.76495666764933,-99.76495666764933,-99.76495666764933
1.6666666666666665,-99.792758720424,-99.79275872042409,-99.79275872042399
1.8888888888888888,-99.80676659918579,-99.80676659918585,-99.80676659918579
2.111111111111111,-99.81385072514895,-99.81385072514894,-99.81385072514892
2.333333333333333,-99.81740168516207,-99.81740168516211,-99.81740168516204
2.5555555555555554,-99.8191598555553,-99.8191598555553,-99.81915985555527
2.7777777777777777,-99.82002061469962,-99.82002061469963,-99.82002061469959
3.0,-99.82043814726077,-99.82043814726079,-99.82043814726072
