R,HF,FCI,CISD
0.5,-1.0531879386745644,-1.0653851727714778,-1.0653851727714772
0.5070707070707071,-1.0592431188791973,-1.0716331030707773,-1.0716331030707757
0.5141414141414141,-1.0649322203581193,-1.0775177761007997,-1.0775177761007988
0.5212121212121212,-1.0702724096572551,-1.0830563973072322,-1.0830563973072307
0.5282828282828282,-1.0752799187711595,-1.0882652381260185,-1.0882652381260183
0.5353535353535354,-1.0799701058213396,-1.0931596966302446,-1.0931596966302441
0.5424242424242425,-1.0843575110487589,-1.0977543534935534,-1.0977543534935523
0.5494949494949495,-1.0884559085442516,-1.102063023693825,-1.1020630236938243
0.5565656565656566,-1.0922783540977856,-1.1060988043380147,-1.1060988043380133
0.5636363636363636,-1.095837229509303,-1.1098741189507377,-1.1098741189507366
0.5707070707070707,-1.0991442836698373,-1.1134007585352044,-1.1134007585352035
0.5777777777777777,-1.1022106706909813,-1.1166899196843922,-1.1166899196843918
0.5848484848484848,-1.1050469853334415,-1.119752239993036,-1.119752239993035
0.591919191919192,-1.107663295961317,-1.122597830996915,-1.122597830996916
0.598989898989899,-1.110069175226216,-1.125236308843375,-1.1252363088433752
0.6060606060606061,-1.1122737286661821,-1.1276768228778633,-1.1276768228778626
0.6131313131313131,-1.1142856213865433,-1.129928082313484,-1.1299280823134839
0.6202020202020202,-1.1161131029741043,-1.1319983811348338,-1.1319983811348329
0.6272727272727272,-1.1177640307818768,-1.1338956213731497,-1.1338956213731486
0.6343434343434343,-1.119245891708858,-1.1356273348772132,-1.1356273348772126
0.6414141414141414,-1.1205658225880737,-1.1372007036930947,-1.1372007036930938
0.6484848484848484,-1.1217306292858726,-1.1386225791556326,-1.1386225791556317
0.6555555555555556,-1.122746804606113,-1.1398994997852356,-1.139899499785235
0.6626262626262627,-1.123620545085042,-1.1410377080757157,-1.141037708075715
0.6696969696969697,-1.124357766755036,-1.142043166251288,-1.1420431662512878
0.6767676767676768,-1.124964119948867,-1.142921571064347,-1.142921571064346
0.6838383838383838,-1.125445003210248,-1.1436783676997284,-1.1436783676997277
0.6909090909090909,-1.1258055763710744,-1.1443187628458598,-1.1443187628458593
0.6979797979797979,-1.1260507728509797,-1.1448477369883754,-1.1448477369883745
0.705050505050505,-1.1261853112305857,-1.1452700559775493,-1.145270055977549
0.7121212121212122,-1.1262137061458,-1.1455902819168988,-1.1455902819168982
0.7191919191919192,-1.1261402785471653,-1.1458127834169067,-1.1458127834169063
