R,HF,FCI,CISD
1.0,-98.9447395182756,-98.94473951827571,-98.94473951827517
1.2222222222222223,-99.06831275065834,-99.06831275065832,-99.06831275065834
1.4444444444444444,-99.11810899026192,-99.1181089902619,-99.11810899026167
1.6666666666666665,-99.13809859992095,-99.13809859992098,-99.13809859992095
1.8888888888888888,-99.14619000672046,-99.14619000672063,-99.1461900067191
2.111111111111111,-99.14944210903784,-99.14944210903788,-99.14944210903603
2.333333333333333,-99.15071829211979,-99.15071829211978,-99.15071829211972
2.5555555555555554,-99.15120670390905,-99.15120670390907,-99.15120670390905
2.7777777777777777,-99.15138967989792,-99.15138967989792,-99.15138967989792
3.0,-99.15145680222943,-99.15145680222942,-99.15145680222943
