R,HF,FCI,CISD
1.0,-98.24699356298574,-98.24699356298574,-98.24699356298494
1.2222222222222223,-98.3714141799655,-98.3714141799655,-98.3714141799655
1.4444444444444444,-98.42089169352306,-98.42089169352309,-98.42089169352306
1.6666666666666665,-98.4405949589379,-98.44059495893788,-98.4405949589379
1.8888888888888888,-98.44835078392569,-98.44835078392579,-98.4483507839257
2.111111111111111,-98.45134486565759,-98.45134486565757,-98.45134486565577
2.333333333333333,-98.4524689238611,-98.4524689238611,-98.45246892386099
2.5555555555555554,-98.4528769575867,-98.45287695758677,-98.4528769575867
2.7777777777777777,-98.4530197912443,-98.45301979124434,-98.45301979124429
3.0,-98.45306741079318,-98.45306741079318,-98.45306741079317
